client_id,tag,region,region1,region2,pod,CA,RM,review_cawb,SG,layer
1001,G,North,North-East,Zone-A,Pod-1,CA-01,RM-01,2024-03-15,SG-01,L1
1001,G,North,North-East,Zone-A,Pod-1,CA-01,RM-01,2025-01-10,SG-01,L2
1002,U,South,South-West,Zone-B,Pod-2,CA-02,RM-02,2023-11-01,SG-02,L1
1003,P,West,West-Central,Zone-C,Pod-1,CA-03,RM-03,,SG-03,L1
1004,X,East,East-North,Zone-D,Pod-3,CA-04,RM-04,2025-02-01,SG-04,L1
1005,G,,East-South,,Pod-2,CA-02,RM-05,2024-08-20,SG-02,L1
2000,P,North,North-East,Zone-C,Pod-2,CA-44,RM-48,2022-10-13,SG-18,L1
2001,P,West,West-North,Zone-A,Pod-10,CA-02,RM-36,2023-04-22,SG-07,L3
2002,G,West,West-North,Zone-D,Pod-7,CA-22,RM-18,2022-01-14,SG-05,L1
2003,U,East,East-North,Zone-A,Pod-10,CA-17,RM-03,2024-01-06,SG-24,L2
2004,P,North,North-West,Zone-A,Pod-6,CA-37,RM-13,2025-07-11,SG-23,L1
2005,G,North,North-Central,Zone-B,Pod-2,CA-25,RM-18,2022-06-13,SG-15,L3
2006,U,East,East-North,Zone-C,Pod-2,CA-39,RM-41,2025-10-04,SG-06,L3
2007,P,South,South-East,Zone-D,Pod-9,CA-15,RM-44,2025-08-03,SG-11,L1
2008,G,South,South-East,Zone-C,Pod-10,CA-46,RM-21,2022-05-16,SG-07,L3
2009,G,West,West-South,Zone-D,Pod-9,CA-35,RM-17,2022-10-13,SG-24,L3
2010,P,West,West-Central,Zone-D,Pod-8,CA-06,RM-49,2022-10-11,SG-02,L1
2011,P,South,South-Central,Zone-B,Pod-2,CA-25,RM-25,2024-05-14,SG-20,L2
2012,P,East,East-Central,Zone-A,Pod-9,CA-49,RM-18,2022-08-23,SG-25,L3
2013,G,East,East-North,Zone-C,Pod-5,CA-33,RM-49,2024-07-18,SG-06,L3
2014,P,North,North-Central,Zone-C,Pod-4,CA-10,RM-24,2024-11-05,SG-25,L1
2015,U,North,North-Central,Zone-C,Pod-5,CA-16,RM-04,2022-08-18,SG-08,L3
2016,G,North,North-East,Zone-D,Pod-3,CA-43,RM-31,2024-12-26,SG-18,L1
2017,P,East,East-Central,Zone-E,Pod-4,CA-46,RM-20,2023-03-10,SG-13,L3
2018,G,East,East-South,Zone-E,Pod-2,CA-22,RM-02,2023-05-23,SG-19,L3
2019,P,South,South-Central,Zone-B,Pod-1,CA-15,RM-05,,SG-02,L2
2020,G,North,North-Central,Zone-B,Pod-9,CA-09,RM-47,2024-09-21,SG-19,L3
2021,G,West,West-North,Zone-D,Pod-2,CA-43,RM-28,2023-01-25,SG-12,L2
2022,G,West,West-South,Zone-A,Pod-1,CA-26,RM-47,2025-08-16,SG-11,L1
2023,U,South,South-East,Zone-B,Pod-3,CA-18,RM-30,2022-10-15,SG-08,L1
2024,P,West,West-Central,Zone-A,Pod-1,CA-06,RM-49,,SG-08,L1
2025,G,West,West-South,Zone-D,Pod-3,CA-25,RM-01,2024-04-01,SG-13,L2
2026,P,West,West-South,Zone-D,Pod-8,CA-10,RM-13,2026-02-05,SG-10,L1
2027,U,North,North-Central,Zone-E,Pod-1,CA-04,RM-38,,SG-16,L3
2028,G,South,South-East,Zone-E,Pod-10,CA-05,RM-44,2023-01-16,SG-08,L2
